New_Tree_ID,AGB,sun_b_NDVI,sun_b_ND800_680,sun_b_mND_705,sun_b_DD,sun_b_mSR_705,sun_b_DATT,sun_b_Chl_Rred_edge,sun_b_TBI_13,sun_b_TBI_24,sun_b_TBI_25
57,58.43941671,0.8386868337953256,0.8051957145388879,0.5549532940282315,0.072813237,3.4939103502045126,10.219828605712053,1.1811953007796396,0.8463601207014647,0.34376343456647096,0.6562365632931911
58,50.13534971,0.8899903885427162,0.8663029454766912,0.6465459466575165,0.09452155899999998,4.6584440856091245,11.556771888806882,1.5888125833145437,0.5683585766973025,0.34650420772456847,0.653495788968443
59,39.74733355,0.8534809124194004,0.8199081020372154,0.5870012424133568,0.074319052,3.842629575005021,12.62878725452167,1.3415726935393266,0.6615141631940736,0.37280830543528853,0.6271916922862304
60,76.02129961,0.8475739682488832,0.8170403005965703,0.5782469935151595,0.078534211,3.7421120120797378,10.270302822071116,1.2645949145811808,1.2356901559351354,0.2930335659984113,0.7069664317233572
61,63.99937045,0.8753515911246903,0.8497074965416515,0.6067299279286562,0.07958205,4.085563687385134,10.8675633370877,1.4123305634326448,0.7784310659483312,0.3479226314009256,0.6520773657246566
62,49.41193063,0.8582149672954231,0.8318647581611639,0.6164163488300847,0.08960612200000001,4.213986549989962,10.507604228823524,1.4096246547414601,1.5293665391311355,0.2608825784410995,0.739117418235293
63,63.82430149,0.8726398895098569,0.843595843032029,0.594550956241249,0.07747096700000002,3.932802355182216,11.120483833330095,1.327968838124581,0.9112271144806374,0.3291000064507367,0.670899991020455
64,32.21010303,0.8493344954467724,0.8175220022255475,0.5881636435061077,0.08438802200000001,3.8562978149347207,11.687445735272913,1.3005950918079638,1.050983817368332,0.3159030097539119,0.6840969878238193
65,43.02858032,0.8638798165715121,0.8362189604306548,0.6132027575132242,0.085380974,4.170667673353344,12.095958705096947,1.4528540072223697,1.0094753240218066,0.3244281988017368,0.6755717988590298
66,32.35254559,0.8555958530600422,0.8199972286054201,0.5844045504945917,0.062118814999999994,3.812372223873861,13.94384116511452,1.358034200739067,0.48278470269080054,0.38956526265420793,0.6104347351598212
67,56.80205659,0.8681663761374384,0.840620950028506,0.5951823094788096,0.07954377699999998,3.9404955485446633,10.44497932587404,1.3581358156425916,0.9874924609477645,0.32795967130362863,0.6720403259992197
68,41.47937683,0.836590179258963,0.8005764348000642,0.5579093055843066,0.065445278,3.5239585978519314,12.536753940901876,1.2262096102427362,0.6762104223787362,0.3360186342717161,0.6639813633976436
69,55.59174654,0.8312356922229904,0.7930458610851077,0.568162751657195,0.06469625600000001,3.6313744483424997,14.16703698789183,1.3208201571936287,0.4716604818000675,0.40240362361677806,0.597596373289682
70,96.07161628,0.8538767544563445,0.8241395839813883,0.5955338926312802,0.076649038,3.9447900862750633,10.930226434155369,1.3470746436266108,0.8326033809770439,0.33690495514294977,0.6630950421672714
71,11.98401757,0.8309118168445593,0.7888822489289666,0.5516435552421445,0.052984114,3.460736588452563,13.699693656462609,1.1603467486277035,0.7394891808142164,0.3546800467582277,0.6453199515279444
72,38.28179859,0.8323965812676892,0.7947487681523396,0.560719811544146,0.058719825999999996,3.552902794746951,16.152016668154882,1.2621728646102803,0.3606478796942942,0.39789800839542433,0.6021019895958039
73,30.88539642,0.8565160633815505,0.8271840077384385,0.5962596019368716,0.08899502099999998,3.95367817475135,10.852131582615854,1.3633666660853176,1.4400412664647064,0.2743797092913203,0.7256202884231368
74,46.22901777,0.8795608863993608,0.856335054022552,0.6241631459873318,0.095141416,4.321457905508458,11.203565066894768,1.4605303813229389,0.9926369648942293,0.3185512986976041,0.6814486981222945
75,36.32284511,0.8554392273020053,0.8317039966845331,0.5710830443611915,0.05995702700000001,3.6629072863987617,12.258779092316832,1.2824473697878447,0.8093561821244017,0.3411064249703287,0.6588935699236882
